timestamp,voltage,current,temperature,iddq,prop_delay
0,4.9911,1.2001,124.97,10.04,4.556
1,5.0312,1.1862,125.19,9.17,4.593
2,4.9617,1.1811,124.54,9.07,4.618
3,4.9746,1.1962,125.48,8.53,4.458
4,5.0295,1.2014,124.55,8.77,4.639
5,5.016,1.1804,124.55,9.39,4.607
6,5.0063,1.1921,125.02,11.12,4.402
7,4.971,1.2116,125.5,10.64,4.366
8,4.9616,1.206,124.63,10.44,4.489
9,4.9772,1.2176,124.65,10.78,4.585
10,4.9657,1.2165,125.39,12.16,4.406
11,4.9683,1.1829,125.38,7.79,4.42
12,5.0325,1.1957,125.03,9.55,4.544
13,4.973,1.1819,124.66,10.83,4.637
14,5.0395,1.2187,124.94,9.82,4.513
15,5.0363,1.2143,124.64,8.44,4.628
16,4.9713,1.1901,124.51,9.69,4.571
17,5.0028,1.2054,124.52,9.73,4.458
18,5.0119,1.2169,124.68,10.75,4.478
19,5.0195,1.1998,125.31,10.34,4.408
20,5.0001,1.2105,124.63,7.72,4.591
21,5.0187,1.1976,124.9,9.77,4.502
22,5.0366,1.2186,125.39,11.22,4.55
23,4.9974,1.206,124.64,9.85,4.382
24,5.0365,1.2073,125.26,10.48,4.525
25,5.0139,1.1925,124.68,12.3,4.56
26,4.9749,1.2013,124.88,12.27,4.626
27,5.004,1.2093,125.42,10.42,4.427
28,4.9791,1.2145,125.24,9.5,4.579
29,5.001,1.1892,125.21,9.11,4.385
30,4.965,1.1888,125.37,7.64,4.375
31,4.9963,1.1883,124.71,9.11,4.428
32,5.0025,1.2138,125.08,10.66,4.571
33,4.9635,1.199,124.7,10.72,4.624
34,4.9806,1.1957,124.52,9.8,4.637
35,4.965,1.1919,124.92,12.99,4.627
36,4.9792,1.1984,124.81,8.7,4.444
37,4.9884,1.2119,124.52,9.71,4.357
38,4.9836,1.2161,124.56,11.28,4.532
39,4.9682,1.1832,124.93,11.91,4.579
40,5.0195,1.1978,124.73,9.27,4.631
41,5.008,1.196,124.93,8.5,4.439
42,4.9735,1.1941,125.17,10.52,4.469
43,5.0093,1.2137,125.29,11.82,4.369
44,5.0319,1.1867,124.67,7.76,4.547
45,4.9782,1.1984,125.4,8.8,4.555
46,5.0357,1.2054,125.16,9.43,4.549
47,5.0141,1.2088,125.11,11.48,4.413
48,5.0299,1.2173,124.96,8.7,4.432
49,4.9822,1.1885,125.37,11.63,4.554
50,5.0164,1.1945,124.61,12.9,4.435
51,4.9809,1.1865,124.66,11.62,4.646
52,5.0332,1.2163,125.31,8.88,4.435
53,4.9811,1.2064,124.58,10.18,4.408
54,4.9602,1.217,125.0,9.7,4.397
